site,Lat,Long,georegion,Mean(percent_cover_Mytcal) pre-SSWS,Mean(percent_cover_Mytcal) post-SSWS,Mean(Pisaster density) pre-SSWS,Mean(Pisaster density) post-SSWS,change_mussel_cover,change_pisaster_density,Square Root[change_mussel_cover],Square Root[change_pisaster_density],Square Root[Mean(Pisaster density) pre-SSWS],Square Root[Mean(Pisaster density) post-SSWS],Square Root[Mean(percent_cover_Mytcal) pre-SSWS],Square Root[Mean(percent_cover_Mytcal) post-SSWS]
Alegria,34.46713695,-120.278178,CA South,8.450676088,3.24508967,0.05025,0.001,-5.205586418,-0.04925,-2.281575424,-0.22192341,0.224165118,0.031622777,2.907004659,1.801413242
Andrew Molera,36.28059854,-121.8631597,CA Central,0.479255733,3.1881804,0.083,0.089,2.708924667,0.006,1.645881122,0.077459667,0.288097206,0.298328678,0.692282986,1.785547647
Ano Nuevo,37.11257002,-122.3295639,CA Central,1.350645155,2.8458498,0.014,0.006,1.495204645,-0.008,1.222785609,-0.089442719,0.118321596,0.077459667,1.162172601,1.686964671
Arroyo Hondo,34.47330773,-120.1453901,CA South,10.01392758,5.21582734,0.115,0.002,-4.798100235,-0.113,-2.190456627,-0.336154726,0.339116499,0.04472136,3.164479037,2.283818587
Bodega,38.31819355,-123.0736465,CA North Central,35.42706363,51.97740113,0.7052,1.324,16.5503375,0.6188,4.068210601,0.786638418,0.839761871,1.150651989,5.952063813,7.209535431
Cape Mendocino,40.34117913,-124.363028,CA North,4.731585985,6.89361702,0.157,0.036,2.162031035,-0.121,1.470384655,-0.347850543,0.396232255,0.18973666,2.175220905,2.625569847
Cayucos,35.44747093,-120.9500899,CA Central,1.93616479,0.97345133,0.013,0,-0.96271346,-0.013,-0.981179627,-0.114017543,0.114017543,0,1.391461386,0.986636372
Chimney Rock,37.99382964,-122.9672906,CA North Central,0.82508251,3.48432056,0.217,0.079,2.65923805,-0.138,1.630717036,-0.371483512,0.465832588,0.281069386,0.908340525,1.866633483
Coal Oil Point,34.40685962,-119.8782861,CA South,5.882804497,2.52252252,0.001333333,0.002,-3.360281977,0.000666667,-1.833107192,0.025819889,0.036514837,0.04472136,2.425449339,1.588245107
Damnation Creek,41.65301224,-124.1301293,CA North,0.90009001,2.74665304,1.011,0.147,1.84656303,-0.864,1.358883008,-0.929516003,1.005484958,0.38340579,0.948730736,1.657302942
Del Mar Landing,38.74051283,-123.5108636,CA North Central,11.60990712,18.69639794,0.218,0.697,7.08649082,0.479,2.662046359,0.692098259,0.466904701,0.834865259,3.407331378,4.323933156
Diablo,35.22659448,-120.8736854,CA Central,1.6,2.20070423,0.017,0.003,0.60070423,-0.014,0.775051114,-0.118321596,0.130384048,0.054772256,1.264911064,1.483477074
Duck Island,51.90473333,-128.4810833,BC,16.83087028,24.48979592,0.292,0.416,7.65892564,0.124,2.767476403,0.352136337,0.540370243,0.64498062,4.102544367,4.948716593
Ecola,45.91810194,-123.9805046,OR,22.65353174,31.95020747,0.381,0.113,9.296675735,-0.268,3.049045053,-0.517687164,0.617251974,0.336154726,4.759572642,5.652451457
Fitzgerald Marine Reserve,37.52164671,-122.5167885,CA North Central,0.417598677,0.79016681,0.026,0.006,0.372568133,-0.02,0.610383595,-0.141421356,0.161245155,0.077459667,0.646218753,0.888913275
Gerstle Cove,38.56613615,-123.3291879,CA North Central,6.54320988,21.32890365,0.05,0.669,14.78569377,0.619,3.845216999,0.786765531,0.223606798,0.817924202,2.557969875,4.618322601
Government Point,34.4424,-120.4563889,CA South,12.39099478,15.07092199,0.3285,0.073,2.679927215,-0.2555,1.637048324,-0.505470078,0.573149195,0.270185122,3.520084484,3.882128539
Hazards,35.28962426,-120.8832727,CA Central,1.484584005,2.92553191,0.0535,0.096,1.440947905,0.0425,1.200394895,0.206155281,0.23130067,0.309838668,1.218435064,1.710418636
Hopkins,36.62101733,-121.9070136,CA Central,1.3231817,6.72782875,0.1315,0.027,5.40464705,-0.1045,2.324789679,-0.323264598,0.362629287,0.164316767,1.150296353,2.593805843
Kibesillah Hill,39.60413211,-123.788848,CA North,24.72843069,31.71548117,0.359666667,0.059,6.987050477,-0.300666667,2.643302948,-0.5483308,0.599722158,0.242899156,4.972768916,5.631649951
Mussel Shoals,34.35556519,-119.4407411,CA South,10.1754386,11.25112511,0.104,0.048,1.07568651,-0.056,1.037153079,-0.236643191,0.32249031,0.219089023,3.189896331,3.354269684
Piedras Blancas,35.66567714,-121.2865298,CA Central,4.88599349,13.05130513,1.028,0.169,8.16531164,-0.859,2.857500943,-0.926822529,1.013903348,0.411096096,2.21042835,3.612659011
Point Arena,38.94337139,-123.733008,CA North Central,0.16474465,0.54446461,0.017,0.064,0.37971996,0.047,0.616214216,0.216794834,0.130384048,0.252982213,0.405887484,0.737878452
Point Lobos,36.51317422,-121.9446972,CA Central,2.80168126,4.18431164,0.0155,0.0115,1.38263038,-0.004,1.175853044,-0.063245553,0.124498996,0.107238053,1.67382235,2.045559004
Point Pinos,36.63796838,-121.9375595,CA Central,6.84684685,20.1620162,0.236,0,13.31516935,-0.236,3.648995663,-0.485798312,0.485798312,0,2.616648018,4.49021338
Point Sierra Nevada,35.7288309,-121.3184164,CA Central,11.17309736,19.91967871,0.168333333,0.174,8.746581347,0.005666667,2.957461977,0.075277265,0.410284454,0.417133072,3.342618339,4.463146727
Saunders Reef,38.86137951,-123.6536104,CA North Central,0.1510574,0.25906736,0.01,0.015,0.10800996,0.005,0.328648688,0.070710678,0.1,0.122474487,0.388661035,0.508986601
Scott Creek,37.04627777,-122.2378577,CA Central,14.78908236,33.82352941,0.218,0.253,19.03444706,0.035,4.362848502,0.187082869,0.466904701,0.502991054,3.845657597,5.81579998
Shaws Cove,33.54472981,-117.7997367,CA South,23.77735141,7.46575342,0.044666667,0,-16.31159799,-0.044666667,-4.038761938,-0.2113449,0.2113449,0,4.876202561,2.732353092
Shelter Cove,40.02274142,-124.073876,CA North,7.97768463,4.95049505,0.56,0.024,-3.02718958,-0.536,-1.739882059,-0.732120209,0.748331477,0.154919334,2.824479533,2.224970798
Stairs,34.73061767,-120.6151566,CA Central,1.286542817,7.60869565,0.046,0.059,6.322152833,0.013,2.514389157,0.114017543,0.214476106,0.242899156,1.134258708,2.758386421
Stillwater,36.56092617,-121.9404356,CA Central,13.14718766,24.0996377,0.2665,0.0405,10.95245005,-0.226,3.309448601,-0.475394573,0.51623638,0.201246118,3.625905081,4.909138183
Terrace Point,36.94851473,-122.0648337,CA Central,29.02991422,30.07784855,0.0835,0.112,1.04793433,0.0285,1.023686637,0.16881943,0.288963666,0.334664011,5.387941557,5.484327539
